LONGITUDE,LATITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
24.0,49.3,0.0,0.0,0.0,1.0,0.0
24.0,49.4,0.12,0.12,0.32,0.12,0.32
24.0,49.5,0.0,1.0,0.0,0.0,0.0
24.0,49.6,0.0,0.0,0.0,0.9047619047619048,0.09523809523809523
24.0,49.7,0.0,1.0,0.0,0.0,0.0
24.0,49.8,0.0,0.09523809523809523,0.0,0.0,0.9047619047619048
24.0,49.9,0.0,1.0,0.0,0.0,0.0
24.0,50.0,0.0,0.0,0.0,1.0,0.0
24.0,50.1,0.0,0.0,0.09090909090909091,0.3181818181818182,0.5909090909090909
24.0,50.2,0.0,1.0,0.0,0.0,0.0
24.0,50.3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
24.0,50.4,0.0,0.0,0.0,0.875,0.125
24.0,50.5,0.0,0.0,0.0,0.8095238095238095,0.19047619047619047
24.0,50.7,0.0,0.0,0.0,1.0,0.0
24.0,50.8,0.0,0.05263157894736842,0.0,0.9473684210526315,0.0
24.0,50.9,0.0,0.06666666666666667,0.0,0.9333333333333333,0.0
24.0,51.0,0.0,0.9615384615384616,0.038461538461538464,0.0,0.0
24.0,51.1,0.0,1.0,0.0,0.0,0.0
24.0,51.2,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285
24.0,51.3,0.0,1.0,0.0,0.0,0.0
24.0,51.4,0.04,0.96,0.0,0.0,0.0
24.0,51.5,0.0,1.0,0.0,0.0,0.0
24.0,51.6,0.0,0.05263157894736842,0.05263157894736842,0.8947368421052632,0.0
24.1,47.9,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0
24.1,48.0,0.0,0.68,0.12,0.0,0.2
24.1,48.1,0.0,1.0,0.0,0.0,0.0
24.1,48.2,0.0,0.96,0.04,0.0,0.0
24.1,48.3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
24.1,48.4,0.0,0.8076923076923077,0.19230769230769232,0.0,0.0
24.1,48.5,0.0,1.0,0.0,0.0,0.0
24.1,48.6,0.0,0.5909090909090909,0.4090909090909091,0.0,0.0
24.1,48.7,0.0,1.0,0.0,0.0,0.0
24.1,48.8,0.0,1.0,0.0,0.0,0.0
24.1,48.9,0.0,1.0,0.0,0.0,0.0
24.1,49.0,0.0,0.0,0.23809523809523808,0.6190476190476191,0.14285714285714285
24.1,49.1,0.0,0.56,0.44,0.0,0.0
24.1,49.2,0.0,0.55,0.3,0.15,0.0
24.1,49.3,0.0,0.0,0.0,0.68,0.32
24.1,49.4,0.19047619047619047,0.0,0.0,0.8095238095238095,0.0
24.1,49.5,0.0,1.0,0.0,0.0,0.0
24.1,49.6,0.0,1.0,0.0,0.0,0.0
24.1,49.7,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
24.1,49.8,0.0,1.0,0.0,0.0,0.0
24.1,49.9,0.0,0.25,0.0,0.45,0.3
24.1,50.0,0.0,0.0,0.0,0.8695652173913043,0.13043478260869565
24.1,50.1,0.0,0.5789473684210527,0.05263157894736842,0.3684210526315789,0.0
24.1,50.2,0.0,0.625,0.3125,0.0625,0.0
24.1,50.3,0.0,0.17391304347826086,0.13043478260869565,0.6956521739130435,0.0
24.1,50.4,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285
