OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%),YEAR
UA43,2023-01-07,-1.0215,-4.7714996,-3.3923328,0.0,0.0,94.4195,88.9625,2023
UA63,2023-01-07,-9.7135,-17.063501,-13.959334,0.0,0.0,84.04295,0.26250002,2023
UA77,2023-01-07,2.2675,0.2175,0.9570833,0.0,0.0,115.50366,98.299995,2023
UA30,2023-01-07,-4.7925,-10.3925,-8.298749,0.0,0.0,132.65771,51.570835,2023
UA14,2023-01-07,-9.071,-15.371,-13.012666,0.0,0.0,52.13992,0.037499998,2023
UA21,2023-01-07,6.4230003,3.173,5.3605003,0.4,0.0,132.29236,81.475,2023
UA23,2023-01-07,-5.124,-11.874,-9.361501,0.0,0.0,81.32997,31.225,2023
UA05,2023-01-07,-2.498,-5.248,-3.7750835,0.0,0.0,134.51413,96.34583,2023
UA48,2023-01-07,-3.35,-6.25,-4.8229165,0.0,0.48999998,92.79772,94.92917,2023
UA32,2023-01-07,-4.7925,-10.3925,-8.298749,0.0,0.0,132.65771,51.570835,2023
UA35,2023-01-07,-5.356,-10.156,-8.733082,0.0,0.0,120.03641,64.3375,2023
UA53,2023-01-07,-8.3755,-14.6255,-12.277583,0.0,0.0,106.96799,8.812501,2023
UA74,2023-01-07,-7.5715,-13.6215,-11.092332,0.0,0.0,131.72816,37.550003,2023
UA09,2023-01-08,-6.374,-15.774,-11.849,0.0,0.0,115.65496,0.0,2023
UA63,2023-01-08,-5.0635,-13.513499,-9.703084,0.0,0.0,133.73312,4.5625,2023
UA23,2023-01-08,-1.2739999,-9.124,-5.926083,0.0,0.0,115.855194,31.012499,2023
UA07,2023-01-08,3.113,-0.387,1.0317501,1.6,0.0,160.05714,77.53333,2023
UA12,2023-01-08,-2.1634998,-10.4635,-6.7364163,0.0,0.0,135.38245,24.7875,2023
UA32,2023-01-08,-0.89250004,-6.6925,-3.3550005,0.0,0.56,152.5388,50.0625,2023
UA26,2023-01-08,7.0864997,0.8865,3.2010832,0.0,0.0,130.32176,93.762505,2023
UA68,2023-01-08,2.6355,-2.9645,0.062583305,0.1,0.0,156.73026,92.862495,2023
UA61,2023-01-08,2.7195,-1.6305,0.70491666,0.0,0.0,148.10384,93.49167,2023
UA71,2023-01-08,-1.9649999,-8.815,-4.860833,0.0,0.77,138.81418,25.258333,2023
UA53,2023-01-08,-4.6254997,-12.2755,-8.558835,0.0,0.0,140.16817,24.137503,2023
UA35,2023-01-08,-3.2059999,-9.2560005,-5.4330826,0.0,0.97999996,142.39993,25.708334,2023
UA05,2023-01-08,2.152,-5.298,-0.6521668,0.0,0.07,154.89622,92.875,2023
UA18,2023-01-08,1.8720001,-3.328,-0.60091656,0.0,0.28,161.35849,88.604164,2023
UA51,2023-01-08,6.055,1.255,4.007083,4.3999996,0.21000001,137.76138,100.0,2023
UA14,2023-01-08,-2.9710002,-13.621,-9.527249,0.0,0.0,130.26054,4.0750003,2023
UA43,2023-01-08,0.97849995,-4.5214996,-2.8402498,0.0,0.0,100.24808,96.333336,2023
UA59,2023-01-08,-5.8045,-13.2045,-9.431584,0.0,0.21000001,141.03807,8.462501,2023
UA56,2023-01-08,2.211,-1.7390001,0.43391666,2.1000001,0.0,159.4224,78.6625,2023
UA48,2023-01-08,-0.25,-4.6,-2.320833,0.0,0.28,120.45663,97.0875,2023
UA30,2023-01-08,-0.89250004,-6.6925,-3.3550005,0.0,0.56,152.5388,50.0625,2023
UA74,2023-01-08,-2.5215,-9.5215,-5.7215,0.0,1.1200001,149.2733,19.116667,2023
UA21,2023-01-08,7.873,5.773,6.493833,2.8,0.0,129.81223,93.76666,2023
UA77,2023-01-08,6.3175,1.1175,3.0258334,0.0,0.0,131.80219,95.4625,2023
UA40,2023-01-08,5.867,0.21700001,2.917,0.0,0.0,121.890755,100.0,2023
UA46,2023-01-08,7.441,1.191,3.4555836,1.6999999,0.0,157.88365,84.558334,2023
UA65,2023-01-08,0.13549998,-4.4144998,-2.33325,0.0,0.0,112.601906,97.25833,2023
UA30,2023-01-09,-1.1925,-5.8425,-3.8758333,0.0,1.05,135.3674,100.0,2023
UA43,2023-01-09,3.7285,-2.7715,-0.23816667,0.0,0.0,90.03636,29.375,2023
UA74,2023-01-09,-2.1715,-5.6215,-3.9839995,0.0,0.07,139.55717,99.958336,2023
UA59,2023-01-09,-6.2545004,-10.804501,-8.502417,0.0,0.0,126.23428,69.39167,2023
UA09,2023-01-09,-10.024,-14.174,-12.976085,0.0,0.0,103.06523,13.1125,2023
UA14,2023-01-09,-6.471,-12.521,-10.285583,0.0,0.0,105.69532,7.7625003,2023
UA68,2023-01-09,2.6355,-1.1645,0.44383332,0.0,0.84,136.34464,99.708336,2023
UA71,2023-01-09,-2.265,-5.465,-4.2712502,0.0,0.07,116.971344,84.950005,2023
UA26,2023-01-09,5.9365,2.4365,3.6531668,0.70000005,0.0,120.181305,84.9625,2023
UA46,2023-01-09,4.841,2.841,3.6097498,3.8,0.0,135.81448,94.62917,2023
UA65,2023-01-09,3.9355001,-3.5644999,-1.2353331,0.0,0.0,99.09306,58.516666,2023
UA12,2023-01-09,-3.4635,-9.8635,-6.815584,0.0,0.0,115.4955,44.7625,2023
UA61,2023-01-09,3.4695,0.3195,1.7736664,1.1,0.42000002,135.32225,100.0,2023
UA53,2023-01-09,-3.8255,-10.0755,-7.0359173,0.0,0.0,120.546524,69.47083,2023
UA35,2023-01-09,-0.906,-6.506,-4.44975,0.0,0.0,120.169395,76.512505,2023
UA05,2023-01-09,1.6520001,-3.148,-1.2313331,0.0,1.1200001,133.9726,99.86667,2023
UA18,2023-01-09,1.3720001,-3.628,-1.4092501,0.0,0.84000003,136.91527,100.0,2023
UA51,2023-01-09,6.055,2.305,4.0675,0.4,0.0,107.174065,81.049995,2023
UA63,2023-01-09,-6.7135,-12.1635,-9.9801655,0.0,0.0,115.32001,43.337505,2023
UA48,2023-01-09,4.3,-3.15,-1.0395834,0.0,0.0,104.77497,55.575,2023
UA07,2023-01-09,2.763,0.363,1.5088333,2.6,1.5400002,136.65712,99.43333,2023
UA23,2023-01-09,-2.724,-7.424,-5.3552494,0.0,0.0,104.30802,11.987499,2023
UA21,2023-01-09,7.4729996,6.123,6.7813334,4.3999996,0.0,29.156824,100.0,2023
UA56,2023-01-09,2.911,-0.389,1.2422502,0.3,1.4700001,136.06848,100.0,2023
UA32,2023-01-09,-1.1925,-5.8425,-3.8758333,0.0,1.05,135.3674,100.0,2023
UA40,2023-01-09,10.417,2.617,6.544083,0.0,0.0,129.42888,26.954168,2023
UA77,2023-01-09,4.8675003,2.4175,3.5779169,0.4,0.0,123.142204,77.78333,2023
UA65,2023-01-10,1.3355,-5.4144998,-3.2728336,0.0,0.0,83.366714,35.466667,2023
UA05,2023-01-10,-1.148,-6.998,-4.1375833,0.0,0.77,136.11101,99.73334,2023
UA71,2023-01-10,-5.515,-9.065,-7.1212506,0.0,0.0,110.69749,71.9,2023
UA07,2023-01-10,2.463,-1.187,0.42549995,0.40000004,0.77,150.74681,100.0,2023
UA21,2023-01-10,10.223,5.2229996,6.7209167,0.3,0.0,13.240544,99.49167,2023
UA68,2023-01-10,-0.064500004,-5.2645,-2.7124166,0.4,1.05,139.81238,100.0,2023
UA40,2023-01-10,9.167,1.217,5.450333,0.0,0.0,358.80655,21.925001,2023
UA48,2023-01-10,1.6,-6.0,-3.6104167,0.0,0.0,78.12246,60.141666,2023
UA77,2023-01-10,3.2175,-2.5325,-0.013749987,3.2,0.0,113.78123,100.0,2023
UA53,2023-01-10,-4.6755,-11.1755,-8.540084,0.0,0.0,121.2283,46.079166,2023
UA74,2023-01-10,-5.6714997,-7.3215,-6.6006665,0.1,1.1900002,140.65665,88.65417,2023
UA23,2023-01-10,-1.124,-8.074,-5.4635825,0.0,0.0,101.606255,41.1375,2023
UA61,2023-01-10,0.61950004,-3.5305,-0.9117501,0.5,1.6100001,136.09192,100.0,2023
UA35,2023-01-10,-2.656,-9.406,-6.972666,0.0,0.0,102.47154,66.90833,2023
UA26,2023-01-10,2.5865002,-1.1135,1.2906667,3.3999999,0.0,118.182724,100.0,2023
UA18,2023-01-10,-2.078,-6.678,-3.8113334,0.0,2.24,136.75748,96.93333,2023
UA30,2023-01-10,-5.0925,-7.8425,-6.8529162,0.0,1.0500001,134.55219,77.879166,2023
UA09,2023-01-10,-6.824,-15.024,-11.011501,0.0,0.0,110.581215,17.937502,2023
UA59,2023-01-10,-6.1045003,-12.2545,-9.502418,0.0,0.0,136.20908,53.575,2023
UA56,2023-01-10,1.211,-2.4390001,-0.44733334,0.6,1.19,146.83093,100.0,2023
UA51,2023-01-10,2.055,-0.645,0.19250001,0.0,0.0,80.11294,94.1875,2023
UA63,2023-01-10,-6.1635003,-13.1635,-9.751,0.0,0.0,123.404564,44.225002,2023
UA14,2023-01-10,-5.3710003,-11.971,-8.366834,0.0,0.0,116.91223,16.550001,2023
UA46,2023-01-10,2.7910001,-1.0090001,1.7222505,0.6,0.0,140.72896,100.0,2023
UA43,2023-01-10,1.8285,-2.8715,-1.2173332,0.0,0.0,84.248085,28.354166,2023
UA12,2023-01-10,-3.4635,-10.6135,-7.5843334,0.0,0.0,105.0353,32.1125,2023
UA32,2023-01-10,-5.0925,-7.8425,-6.8529162,0.0,1.0500001,134.55219,77.879166,2023
